file word answer
casa.png *SA CA
cafe.png *fé CA
cebola.png *bola CE
cinema.png *nema CI
coco.png *cô CO
curtir.png *rtir CU
curativo.png *rativo CU
cueca.png *eca CU
cozinha.png *zinha CO
cobra.png *bra CO
coracao.png *ração CO
cabelo.png *belo CA
carro.png *rro CA
ciencia.png *ência CI
cinto.png *nto CI
coelho.png *elho CO
coruja.png *ruja CO
camelo.png *melo CA
carangueijo.png *rangueijo CA
cisne.png *sne CI
cegonha.png *gonha CE
ceu.png *u CE
celular.png *lular CE
calendario.png *lendário CA
cogumelo.png *gumelo CO
capacete.png *pacete CA
coxinha.png *xinha CO
caderno.png *derno CA
cimento.png *mento CI
